"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-21","12.08",",,W"," 2120",",,W","0.00",",,W",,,,,,,,,"42",",,W","29",",,W",,,"  240",",,W","  250",",,W","23.9",",,W","33.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-22","19.69",",,W"," 1400",",,W","0.00",",,W",,,,,,,,,"47",",,W","34",",,W",,,"  240",",,W","  240",",,W","31.1",",,W","38.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-23","20.80",",,W"," 1234",",,W","0.04",",,W",,,,,,,,,"46",",,W","32",",,W",,,"  250",",,W","  250",",,W","40.0",",,W","49.0",",,W",,,,,,,,,"    1",",,W"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-24","4.25",",,W"," 0046",",,W","0.00",",,W",,,,,,,,,"39",",,W","24",",,W",,,"  280",",,W","  280",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-25","9.84",",,W"," 2135",",,W","0.00",",,W",,,,,,,,,"43",",,W","24",",,W",,,"  100",",,W","  100",",,W","18.1",",,W","21.9",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-26","10.29",",,W"," 2335",",,W","0.03",",,W",,,,,,,,,"54",",,W","32",",,W",,,"  160",",,W","  170",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-27","9.17",",,W"," 0522",",,W","0.42",",,W",,,,,,,,,"49",",,W","42",",,W",,,"  140",",,W","  150",",,W","16.1",",,W","21.0",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-02-28","16.33",",,W"," 1158",",,W","0.50",",,W",,,,,,,,,"50",",,W","35",",,W",,,"  240",",,W","  240",",,W","35.1",",,W","48.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-01","9.84",",,W"," 2312",",,W","0.00",",,W",,,,,,,,,"53",",,W","33",",,W",,,"  100",",,W","  100",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-02","11.41",",,W"," 1036",",,W","0.09",",,W",,,,,,,,,"46",",,W","35",",,W",,,"  270",",,W","  280",",,W","25.1",",,W","31.1",",,W","    1",",,W",,,,,,,,
